date,revenue_cr,price
2023-04-19,0.229362,151.4652
2023-04-20,0.200794,149.9485
2023-04-25,0.250399,164.8984
2023-04-26,0.21851,166.415
2023-04-27,0.232494,173.5816
2023-05-05,0.233254,170.0316
2023-05-08,0.260135,178.6149
2023-05-09,0.270884,176.9482
2023-05-10,0.210319,176.2816
2023-05-11,0.244639,180.0482
2023-05-12,0.243401,183.2315
2023-05-15,0.255926,181.9315
2023-05-16,0.239154,179.8982
2023-05-17,0.246134,178.9649
2023-05-18,0.243612,176.6316
2023-05-19,0.246261,174.7149
2023-05-22,0.300697,175.6316
2023-05-23,0.320983,177.7649
2023-05-24,0.307534,176.7982
2023-05-25,0.266649,178.0816
2023-05-26,0.385635,178.7815
2023-05-29,0.2754,180.6982
2023-05-30,0.303744,180.6815
2023-05-31,0.455012,185.8981
2023-06-01,0.292395,190.2314
2023-06-02,0.294554,190.6648
2023-06-05,0.3197,192.2314
2023-06-06,0.307184,188.5981
2023-06-07,0.338452,188.5148
2023-06-08,0.321197,186.2648
2023-06-09,0.884238,184.8148
2023-06-12,0.286062,190.1314
2023-06-13,0.342167,187.6481
2023-06-14,0.342967,190.1648
2023-06-15,0.3329,191.3148
2023-06-16,0.469173,190.7481
2023-06-19,0.460769,189.5981
2023-06-20,0.881998,190.6314
2023-06-21,0.404324,190.7148
2023-06-22,0.379678,201.0813
2023-06-23,0.689838,202.848
2023-06-26,0.2694,198.9147
2023-06-27,0.241592,200.1313
2023-06-28,0.378443,204.9146
2023-06-30,0.90079,202.848
2023-07-03,0.32051,223.1311
2023-07-04,0.328807,224.2644
2023-07-05,0.310848,226.7811
2023-07-06,0.398298,235.1643
2023-07-07,0.998055,235.7976
2023-07-10,0.334987,231.8977
2023-07-11,0.343202,233.3643
2023-07-12,0.404556,251.8641
2023-07-13,0.411975,245.4309
2023-07-14,1.065622,252.4808
2023-07-17,0.359723,250.3975
2023-07-18,0.373043,245.7309
2023-07-19,0.328012,245.7642
2023-07-20,0.352322,246.0475
2023-07-21,1.646756,245.8809
2023-07-24,0.390982,242.8309
2023-07-25,0.382208,245.9142
2023-07-26,0.366128,256.2808
2023-07-27,0.372663,259.8807
2023-07-28,1.539508,267.3473
2023-07-31,0.41386,269.7473
2023-08-01,0.504168,280.6639
2023-08-02,0.441742,279.0805
2023-08-03,0.493669,279.3639
2023-08-04,2.140067,287.0971
2023-08-07,0.76939,289.2304
2023-08-08,0.496688,294.1971
2023-08-09,0.459866,307.7969
2023-08-10,0.546319,297.4804
2023-08-11,1.937581,299.4637
2023-08-14,0.461141,293.3137
2023-08-16,1.494312,279.9472
2023-08-17,0.397641,287.1471
2023-08-18,2.444333,287.9971
2023-08-21,0.377531,296.6804
2023-08-22,0.379711,299.797
2023-08-23,0.483477,304.5636
2023-08-24,0.764238,301.447
2023-08-25,3.104717,301.097
2023-08-28,0.661262,302.4636
2023-08-29,0.571134,303.3136
2023-08-30,0.529329,322.5968
2023-08-31,0.703949,354.2465
2023-09-01,3.383578,375.3796
2023-09-04,0.584291,396.0794
2023-09-05,0.529687,395.7294
2023-09-06,0.609738,401.7793
2023-09-07,0.749895,417.1625
2023-09-08,3.777712,441.4789
2023-09-11,0.647582,456.3788
2023-09-12,0.860439,432.679
2023-09-13,0.581112,433.4123
2023-09-14,0.704292,427.6957
2023-09-15,3.422723,424.3124
2023-09-18,0.491354,415.4458
2023-09-20,0.531238,400.496
2023-09-21,0.762908,391.8794
2023-09-22,4.298739,398.7793
2023-09-25,0.474733,402.3293
2023-09-26,0.476394,425.7291
2023-09-27,0.558113,435.9123
2023-09-28,0.77939,431.629
2023-09-29,3.621213,432.6457
2023-10-03,0.507711,432.6123
2023-10-04,0.566246,426.7624
2023-10-05,0.732061,442.0289
2023-10-06,4.140487,467.162
2023-10-09,0.4913,461.3121
2023-10-10,0.460495,478.1286
2023-10-11,0.713426,493.9117
2023-10-12,0.725084,491.5118
2023-10-13,6.124217,494.4451
2023-10-16,0.547818,493.6617
2023-10-17,0.510729,493.3784
2023-10-18,0.597072,495.895
2023-10-19,0.94587,512.5282
2023-10-20,4.550255,529.2614
2023-10-23,0.615294,569.0443
2023-10-25,0.686732,596.2274
2023-10-26,0.860501,599.7273
2023-10-27,6.505544,620.9771
2023-10-30,0.67038,632.5603
2023-10-31,0.636529,620.9938
2023-11-01,0.541205,598.194
2023-11-02,0.831409,590.3441
2023-11-03,5.148884,599.8607
2023-11-06,0.814634,621.0771
2023-11-07,0.539462,672.0099
2023-11-08,0.518677,690.2264
2023-11-09,0.746585,654.4768
2023-11-10,5.239056,670.2433
2023-11-12,0.179399,708.6762
2023-11-13,0.786292,773.9589
2023-11-15,0.584441,767.4423
2023-11-16,1.181419,775.4089
2023-11-17,6.587311,803.7586
2023-11-20,1.071971,754.3258
2023-11-21,0.539611,716.4762
2023-11-22,0.599012,696.243
2023-11-23,0.830166,707.4429
2023-11-24,3.422978,723.5594
2023-11-28,0.597487,782.9088
2023-11-29,1.029358,809.1919
2023-11-30,1.19771,825.6417
2023-12-01,6.051977,832.875
2023-12-04,2.287248,837.2916
2023-12-05,0.91203,814.6752
2023-12-06,0.934427,828.6917
2023-12-07,1.409851,821.3585
2023-12-08,6.974864,805.8753
2023-12-11,2.171117,784.4588
2023-12-12,1.053883,768.759
2023-12-13,1.044833,788.2255
2023-12-14,1.808574,783.5755
2023-12-15,10.573146,771.2256
2023-12-18,2.903112,790.5754
2023-12-19,1.024782,800.1087
2023-12-20,2.250832,770.5756
2023-12-21,2.706506,777.9589
2023-12-22,11.099507,773.2923
2023-12-26,0.862648,770.1923
2023-12-27,1.032078,755.5924
2023-12-28,1.337174,747.7592
2023-12-29,8.510478,740.3926
2024-01-01,2.138139,734.3427
2024-01-02,1.066519,745.3092
2024-01-03,1.067104,751.1092
2024-01-04,1.540413,759.0257
2024-01-05,6.86238,767.909
2024-01-08,3.127789,758.3591
2024-01-09,1.149526,766.9923
2024-01-10,1.109069,753.1758
2024-01-11,1.601546,751.9258
2024-01-12,11.052129,745.6925
2024-01-15,3.398605,746.1092
2024-01-16,1.08912,769.5756
2024-01-17,1.217574,762.3257
2024-01-18,2.410603,765.8923
2024-01-19,9.829017,758.6091
2024-01-20,4.42319,747.0759
2024-01-23,1.415943,703.743
2024-01-24,2.17244,704.043
2024-01-25,5.60403,707.3096
2024-01-29,4.189402,709.6262
2024-01-30,1.124616,729.2594
2024-01-31,1.101097,774.5256
2024-02-01,2.313644,831.1417
2024-02-02,18.827084,821.6585
2024-02-05,4.768295,853.6748
2024-02-06,1.332992,823.1084
2024-02-07,1.451022,833.925
2024-02-08,2.617102,837.2416
2024-02-09,10.265311,829.8584
2024-02-12,5.550968,787.4088
2024-02-13,0.952188,780.6255
2024-02-14,1.653803,782.3922
2024-02-15,2.171678,774.5923
2024-02-16,8.976315,767.9257
2024-02-19,4.137968,768.209
2024-02-20,1.045832,765.6423
2024-02-21,1.041488,738.7259
2024-02-22,1.979319,733.3927
2024-02-23,10.154044,758.9257
2024-02-26,3.537341,759.6424
2024-02-27,0.970178,798.692
2024-02-28,1.07525,779.0922
2024-02-29,1.684748,788.9421
2024-03-01,13.571374,778.8089
2024-03-02,0.303232,784.1422
2024-03-04,4.089916,773.1756
2024-03-05,1.07173,762.3257
2024-03-06,1.648487,766.3423
2024-03-07,3.974165,747.9425
2024-03-11,4.852268,734.6927
2024-03-12,0.810422,716.1762
2024-03-13,2.770989,670.56
2024-03-14,1.851657,682.8098
2024-03-15,9.575923,694.1264
2024-03-18,5.610742,678.4932
2024-03-19,1.495846,652.2101
2024-03-20,0.951362,677.7099
2024-03-21,1.467494,747.6925
2024-03-22,11.756988,732.5927
2024-03-26,0.927742,770.059
2024-03-27,1.371413,821.1918
2024-03-28,8.536841,838.6249
2024-04-01,3.681569,903.291
2024-04-02,0.727633,918.7741
2024-04-03,1.086237,953.7238
2024-04-04,2.203082,963.3904
2024-04-05,9.056445,958.5237
2024-04-08,3.381425,933.8907
2024-04-09,1.219385,915.2242
2024-04-10,1.060328,954.4905
2024-04-12,12.663421,942.9739
